MaritalStatus,Gender,YearlyIncome,TotalChildren,FirstPurchaseYear,NumberChildrenAtHome,Education,Occupation,HouseOwnerFlag,NumberCarsOwned,CommuteDistance,Age,Country,Buyer
M,M,90000.0,2,2011,0,Bachelors,Professional,1,0,1-2 Miles,46,AU,1
S,M,60000.0,3,2011,3,Bachelors,Professional,0,1,0-1 Miles,42,AU,1
M,M,60000.0,3,2011,3,Bachelors,Professional,1,1,2-5 Miles,47,AU,1
S,F,70000.0,0,2010,0,Bachelors,Professional,0,1,5-10 Miles,45,AU,1
S,F,80000.0,5,2011,5,Bachelors,Professional,1,4,1-2 Miles,39,AU,1
S,M,70000.0,0,2010,0,Bachelors,Professional,1,1,5-10 Miles,42,AU,1
S,F,70000.0,0,2011,0,Bachelors,Professional,1,1,5-10 Miles,41,AU,1
M,M,60000.0,3,2011,3,Bachelors,Professional,1,2,0-1 Miles,48,AU,1
S,F,60000.0,4,2011,4,Bachelors,Professional,1,3,10+ Miles,43,AU,1
S,M,70000.0,0,2011,0,Bachelors,Professional,0,1,5-10 Miles,48,AU,1
S,F,70000.0,0,2011,0,Bachelors,Professional,0,1,5-10 Miles,49,AU,1
M,M,60000.0,4,2010,4,Bachelors,Professional,1,4,10+ Miles,49,AU,1
M,F,100000.0,2,2013,0,Bachelors,Management,1,2,1-2 Miles,39,US,0
M,M,100000.0,2,2013,0,Bachelors,Management,1,3,0-1 Miles,39,US,0
S,F,100000.0,3,2013,0,Bachelors,Management,0,3,1-2 Miles,44,US,0
S,F,30000.0,0,2013,0,Partial College,Skilled Manual,0,1,5-10 Miles,33,US,1
M,M,30000.0,0,2013,0,Partial College,Skilled Manual,1,1,5-10 Miles,33,US,1
S,F,20000.0,4,2011,0,High School,Skilled Manual,1,2,5-10 Miles,68,AU,1
S,M,30000.0,2,2011,0,Partial College,Clerical,1,2,5-10 Miles,62,AU,1
S,M,40000.0,0,2013,0,High School,Skilled Manual,0,2,5-10 Miles,34,CA,0
S,M,40000.0,0,2012,0,High School,Skilled Manual,0,2,1-2 Miles,34,CA,1
S,F,40000.0,0,2013,0,Partial College,Skilled Manual,0,1,1-2 Miles,34,US,1
M,M,40000.0,0,2013,0,Partial College,Skilled Manual,1,1,5-10 Miles,34,US,1
M,M,40000.0,0,2013,0,Partial College,Skilled Manual,1,1,1-2 Miles,34,US,0
M,M,60000.0,0,2013,0,Partial College,Skilled Manual,1,2,5-10 Miles,34,US,0
M,M,10000.0,2,2011,1,Partial High School,Clerical,1,2,1-2 Miles,67,AU,1
S,M,30000.0,2,2011,0,Partial College,Clerical,0,2,1-2 Miles,66,AU,1
M,M,30000.0,2,2011,0,Partial College,Clerical,1,2,5-10 Miles,66,AU,1
M,F,30000.0,2,2011,0,Partial College,Clerical,1,2,1-2 Miles,66,AU,1
M,M,30000.0,2,2011,0,Partial College,Clerical,1,2,1-2 Miles,66,AU,1
M,F,10000.0,2,2011,1,Partial High School,Clerical,1,2,1-2 Miles,60,AU,1
M,F,20000.0,4,2011,0,High School,Skilled Manual,1,2,1-2 Miles,65,AU,1
M,F,20000.0,4,2011,0,High School,Skilled Manual,1,2,1-2 Miles,65,AU,1
M,M,20000.0,4,2011,0,High School,Skilled Manual,1,2,5-10 Miles,59,AU,1
M,F,20000.0,4,2011,0,High School,Skilled Manual,1,2,5-10 Miles,65,AU,1
M,F,10000.0,2,2011,1,Partial High School,Clerical,1,2,1-2 Miles,64,AU,1
M,F,60000.0,0,2013,0,Partial College,Skilled Manual,1,2,1-2 Miles,34,US,1
S,F,40000.0,0,2013,0,Partial High School,Clerical,0,2,5-10 Miles,35,CA,1
M,F,10000.0,2,2011,1,Partial High School,Clerical,1,2,5-10 Miles,64,AU,1
M,M,30000.0,3,2011,0,Partial College,Clerical,1,2,5-10 Miles,64,AU,1
M,M,30000.0,0,2013,0,Partial College,Skilled Manual,1,2,1-2 Miles,35,US,1
M,F,60000.0,0,2013,0,Partial College,Skilled Manual,1,2,1-2 Miles,35,US,1
M,F,70000.0,0,2013,0,Partial College,Skilled Manual,1,2,0-1 Miles,35,US,1
M,M,60000.0,0,2013,0,Partial College,Skilled Manual,1,2,5-10 Miles,36,US,0
M,M,20000.0,2,2011,1,Partial High School,Clerical,1,2,1-2 Miles,63,AU,1
S,M,30000.0,3,2013,0,High School,Skilled Manual,0,2,1-2 Miles,62,AU,0
M,F,30000.0,3,2011,0,High School,Skilled Manual,1,2,5-10 Miles,62,AU,1
M,F,30000.0,3,2011,0,High School,Skilled Manual,0,2,1-2 Miles,62,AU,1
M,M,30000.0,3,2011,0,High School,Skilled Manual,1,2,5-10 Miles,62,AU,1
S,F,40000.0,0,2013,0,Partial High School,Clerical,1,2,5-10 Miles,32,US,0
M,M,30000.0,3,2011,0,High School,Skilled Manual,1,2,5-10 Miles,61,AU,1
S,M,30000.0,3,2013,0,High School,Skilled Manual,0,2,1-2 Miles,61,AU,0
S,F,40000.0,2,2011,0,Partial College,Clerical,0,2,5-10 Miles,61,AU,1
M,F,60000.0,0,2013,0,Partial College,Skilled Manual,0,2,1-2 Miles,32,US,1
M,F,40000.0,2,2011,0,Partial College,Skilled Manual,1,2,5-10 Miles,60,AU,1
M,M,40000.0,2,2011,0,Partial College,Skilled Manual,1,2,5-10 Miles,60,AU,1
M,F,40000.0,3,2011,0,Partial College,Skilled Manual,1,2,5-10 Miles,59,AU,1
M,M,70000.0,2,2011,0,Graduate Degree,Management,1,2,1-2 Miles,48,AU,1
M,M,80000.0,2,2011,0,Partial College,Skilled Manual,1,2,1-2 Miles,53,AU,1
S,F,80000.0,2,2013,0,Partial College,Skilled Manual,1,2,5-10 Miles,58,AU,0
M,M,80000.0,2,2011,0,Partial College,Skilled Manual,1,2,5-10 Miles,58,AU,1
M,M,80000.0,2,2011,0,Partial College,Skilled Manual,1,2,5-10 Miles,42,AU,1
M,M,40000.0,0,2013,0,High School,Skilled Manual,1,2,5-10 Miles,37,US,1
S,F,40000.0,0,2013,0,High School,Skilled Manual,1,2,5-10 Miles,37,US,1
M,M,40000.0,0,2013,0,High School,Skilled Manual,1,2,5-10 Miles,37,US,1
M,F,60000.0,0,2013,0,Partial College,Skilled Manual,0,2,1-2 Miles,39,US,0
M,F,70000.0,0,2013,0,Partial College,Professional,1,2,5-10 Miles,39,US,0
S,M,60000.0,0,2013,0,Partial College,Professional,1,2,5-10 Miles,36,US,0
S,F,80000.0,2,2013,0,High School,Skilled Manual,1,2,5-10 Miles,51,AU,0
S,F,80000.0,2,2011,0,High School,Skilled Manual,0,2,1-2 Miles,51,AU,1
M,M,80000.0,2,2011,0,High School,Skilled Manual,1,2,5-10 Miles,57,AU,1
S,F,80000.0,2,2013,0,High School,Skilled Manual,1,2,5-10 Miles,57,AU,0
S,F,80000.0,2,2011,0,High School,Skilled Manual,0,2,1-2 Miles,58,AU,1
S,F,70000.0,2,2013,0,High School,Skilled Manual,1,2,5-10 Miles,56,AU,0
S,M,70000.0,2,2013,0,High School,Skilled Manual,1,2,5-10 Miles,56,AU,0
S,F,80000.0,2,2011,0,High School,Professional,1,2,5-10 Miles,55,AU,1
S,M,80000.0,2,2011,0,High School,Professional,1,2,5-10 Miles,55,AU,1
S,F,80000.0,2,2011,0,High School,Professional,0,2,1-2 Miles,55,AU,1
S,F,40000.0,0,2013,0,High School,Professional,0,2,1-2 Miles,33,CA,0
S,M,160000.0,0,2013,0,Graduate Degree,Management,1,2,0-1 Miles,48,AU,0
M,M,170000.0,0,2011,0,Graduate Degree,Management,1,2,0-1 Miles,53,AU,1
M,F,120000.0,2,2013,2,Bachelors,Management,1,3,2-5 Miles,46,US,0
S,F,130000.0,0,2013,1,Graduate Degree,Management,0,3,1-2 Miles,46,US,1
M,F,130000.0,0,2013,1,Graduate Degree,Management,1,3,1-2 Miles,41,US,1
S,M,80000.0,2,2013,0,Partial High School,Skilled Manual,0,2,1-2 Miles,55,US,1
S,F,60000.0,2,2013,0,High School,Professional,0,2,5-10 Miles,55,US,0
M,M,70000.0,2,2013,1,Partial College,Professional,1,0,0-1 Miles,55,US,0
M,F,70000.0,3,2013,2,Partial College,Professional,0,0,0-1 Miles,55,US,0
M,M,80000.0,2,2013,1,Bachelors,Management,1,0,2-5 Miles,55,US,1
S,F,80000.0,2,2012,1,Bachelors,Management,1,1,2-5 Miles,56,US,1
S,M,90000.0,2,2011,0,Partial College,Professional,1,1,2-5 Miles,49,US,1
M,M,90000.0,2,2013,0,Partial College,Professional,1,1,5-10 Miles,55,CA,0
M,F,90000.0,2,2011,2,Bachelors,Professional,1,0,1-2 Miles,45,AU,1
M,F,100000.0,0,2011,0,Graduate Degree,Management,1,0,0-1 Miles,39,AU,1
S,M,70000.0,1,2013,0,Partial College,Skilled Manual,0,1,0-1 Miles,50,AU,0
S,M,70000.0,1,2011,0,Partial College,Skilled Manual,1,1,5-10 Miles,50,AU,1
M,M,60000.0,1,2011,0,Bachelors,Professional,1,1,5-10 Miles,50,AU,1
M,M,60000.0,1,2011,0,Partial College,Skilled Manual,1,1,5-10 Miles,45,AU,1
S,F,60000.0,1,2013,0,Partial College,Skilled Manual,0,1,0-1 Miles,51,AU,0
M,M,60000.0,1,2011,0,Bachelors,Professional,1,1,0-1 Miles,51,AU,1
S,F,60000.0,1,2011,0,Partial College,Skilled Manual,1,1,5-10 Miles,52,AU,1
S,F,70000.0,0,2011,0,Bachelors,Professional,0,1,0-1 Miles,47,AU,1
S,F,80000.0,5,2013,5,Bachelors,Professional,1,4,1-2 Miles,47,AU,0
S,F,70000.0,0,2011,0,Bachelors,Professional,1,1,5-10 Miles,37,AU,1
M,M,70000.0,0,2011,0,Bachelors,Professional,0,1,0-1 Miles,43,AU,1
S,F,70000.0,0,2011,0,Bachelors,Professional,0,1,5-10 Miles,48,AU,1
S,M,70000.0,0,2011,0,Bachelors,Professional,0,1,5-10 Miles,48,AU,1
M,F,90000.0,1,2011,0,Bachelors,Professional,1,1,5-10 Miles,42,AU,1
S,F,70000.0,0,2011,0,Bachelors,Professional,0,2,0-1 Miles,49,AU,1
S,M,70000.0,0,2011,0,Bachelors,Professional,0,2,0-1 Miles,38,AU,1
M,M,60000.0,1,2011,0,Partial College,Skilled Manual,1,1,5-10 Miles,50,AU,1
M,F,60000.0,1,2011,0,Partial College,Skilled Manual,1,1,0-1 Miles,50,AU,1
M,F,60000.0,1,2011,0,Partial College,Skilled Manual,1,1,0-1 Miles,50,AU,1
M,M,70000.0,5,2013,4,Bachelors,Professional,1,2,5-10 Miles,45,AU,0
S,F,70000.0,5,2013,4,Partial College,Skilled Manual,1,2,5-10 Miles,50,AU,0
M,M,70000.0,5,2013,4,Partial College,Skilled Manual,1,2,0-1 Miles,51,AU,0
M,M,70000.0,5,2013,4,Partial College,Skilled Manual,1,2,5-10 Miles,39,AU,0
M,F,70000.0,5,2011,4,Partial College,Skilled Manual,1,3,10+ Miles,52,AU,1
S,M,80000.0,1,2013,0,Partial College,Skilled Manual,0,1,0-1 Miles,55,AU,0
S,M,30000.0,2,2013,0,Partial College,Clerical,0,2,0-1 Miles,77,AU,0
S,F,40000.0,2,2011,0,Bachelors,Management,1,1,5-10 Miles,76,AU,1
M,M,70000.0,5,2013,4,Partial College,Skilled Manual,1,3,10+ Miles,52,AU,0
M,M,70000.0,5,2013,4,Partial College,Skilled Manual,1,3,5-10 Miles,52,AU,0
M,M,70000.0,5,2013,4,Partial College,Skilled Manual,1,3,10+ Miles,52,AU,0
S,M,80000.0,1,2011,0,Partial College,Skilled Manual,1,1,5-10 Miles,50,AU,1
S,F,70000.0,1,2013,0,Partial College,Skilled Manual,1,1,5-10 Miles,56,AU,0
M,M,10000.0,2,2011,1,High School,Skilled Manual,0,2,0-1 Miles,63,AU,1
M,F,40000.0,0,2013,0,High School,Skilled Manual,1,1,5-10 Miles,37,US,0
M,F,40000.0,0,2013,0,High School,Skilled Manual,1,1,5-10 Miles,37,US,0
S,F,40000.0,0,2011,0,High School,Skilled Manual,1,1,5-10 Miles,37,US,1
M,F,30000.0,0,2013,0,High School,Skilled Manual,1,2,5-10 Miles,33,US,0
M,F,30000.0,0,2013,0,High School,Skilled Manual,0,2,0-1 Miles,32,CA,0
S,F,30000.0,0,2013,0,High School,Skilled Manual,0,2,5-10 Miles,32,CA,1
S,F,30000.0,0,2013,0,Partial High School,Clerical,0,2,0-1 Miles,32,US,0
S,M,10000.0,5,2011,0,High School,Skilled Manual,1,2,5-10 Miles,61,AU,1
S,M,30000.0,0,2013,0,Partial High School,Clerical,0,2,5-10 Miles,33,US,1
S,F,40000.0,0,2013,0,High School,Skilled Manual,0,2,0-1 Miles,34,CA,1
M,F,40000.0,0,2013,0,High School,Skilled Manual,1,2,5-10 Miles,34,US,0
M,F,40000.0,0,2013,0,High School,Skilled Manual,0,2,0-1 Miles,34,US,0
S,F,30000.0,2,2013,0,Partial College,Clerical,0,2,5-10 Miles,68,AU,0
S,M,30000.0,0,2013,0,Partial High School,Clerical,0,2,5-10 Miles,36,US,0
M,F,40000.0,0,2013,0,High School,Skilled Manual,0,2,0-1 Miles,35,US,0
S,M,40000.0,0,2013,0,High School,Skilled Manual,0,2,0-1 Miles,35,CA,0
M,M,40000.0,0,2013,0,High School,Skilled Manual,1,2,5-10 Miles,36,US,0
S,M,40000.0,0,2013,0,High School,Skilled Manual,0,2,0-1 Miles,33,US,1
S,F,40000.0,0,2013,0,High School,Skilled Manual,0,2,0-1 Miles,33,US,1
S,F,40000.0,2,2013,0,Bachelors,Management,1,2,5-10 Miles,73,AU,0
